Bacterium,Taxonomy (Phylum / Family / Genus),Similar Bacteria (shared behavior),Shared Behavior / Property,Shared Molecular Target / Mechanism,Cure / Vaccine / Suppressant ,Notes
Streptococcus pneumoniae,Firmicutes / Streptococcaceae / Streptococcus,S. pyogenes; other streptococci,"Pneumonia, meningitis; capsule-mediated virulence",Peptidoglycan synthesis (PBPs); capsule biosynthesis,Penicillin; Amoxicillin; Pneumococcal conjugate vaccines (PCV13/PCV20),
Staphylococcus aureus,Firmicutes / Staphylococcaceae / Staphylococcus,Coagulase-negative staphylococci; MRSA,Skin/soft tissue infections; toxins; bacteremia,Cell wall synthesis; protein synthesis,Nafcillin (MSSA); Vancomycin; Linezolid (MRSA),
MRSA,Firmicutes / Staphylococcaceae / Staphylococcus,S. aureus (resistant),Methicillin resistance via mecA (PBP2a),Altered PBPs; cell wall synthesis,Vancomycin; Daptomycin; Linezolid,AMR priority
Escherichia coli,Proteobacteria / Enterobacteriaceae / Escherichia,Klebsiella pneumoniae; Enterobacter spp.,"UTI, sepsis, enteric disease; LPS endotoxin effects",Cell wall synthesis; ribosome; LPS biosynthesis,Trimethoprim-sulfamethoxazole; Ciprofloxacin; Ceftriaxone,
ESBL-producing E. coli,Proteobacteria / Enterobacteriaceae / Escherichia,ESBL Klebsiella; Enterobacteriaceae,Beta-lactamase-mediated resistance,Beta-lactamases hydrolyzing beta-lactams,Carbapenems; Ceftazidime-avibactam,
Klebsiella pneumoniae,Proteobacteria / Enterobacteriaceae / Klebsiella,E. coli; Enterobacter spp.,"Pneumonia, UTI; capsule; carbapenem-resistant strains exist",Cell wall synthesis; capsule,Cephalosporins; Carbapenems; Ceftazidime-avibactam,
CRKP (Carbapenem-resistant K. pneumoniae),Proteobacteria / Enterobacteriaceae / Klebsiella,CRE group,"Carbapenemase production (KPC, NDM)",Beta-lactamases (carbapenemases),Ceftazidime-avibactam; Polymyxins (colistin),High AMR priority
Pseudomonas aeruginosa,Proteobacteria / Pseudomonadaceae / Pseudomonas,Acinetobacter baumannii; Burkholderia,Hospital-acquired infections; biofilms; intrinsic resistance,Efflux pumps; porins; biofilm matrix,Piperacillin-tazobactam; Meropenem; Tobramycin,
Acinetobacter baumannii,Proteobacteria / Moraxellaceae / Acinetobacter,Pseudomonas aeruginosa,ICU infections; XDR strains; biofilm,Efflux pumps; beta-lactamases,Colistin; Carbapenems (if sensitive),Often multidrug-resistant
Mycobacterium tuberculosis,Actinobacteria / Mycobacteriaceae / Mycobacterium,M. leprae,Pulmonary TB; intracellular; complex cell wall (mycolic acids),Mycolic acid synthesis; RNA polymerase; InhA,Isoniazid; Rifampicin; Ethambutol; Bedaquiline,
Mycobacterium leprae,Actinobacteria / Mycobacteriaceae / Mycobacterium,M. tuberculosis,Leprosy; nerve tropism; slow growth,Mycolic acid-rich envelope,Dapsone; Rifampicin; Clofazimine,
Neisseria meningitidis,Proteobacteria / Neisseriaceae / Neisseria,N. gonorrhoeae,Meningitis; capsule-mediated virulence,Polysaccharide capsule; cell wall synthesis,"Ceftriaxone; Meningococcal vaccines (MenACWY, MenB)",
Neisseria gonorrhoeae,Proteobacteria / Neisseriaceae / Neisseria,N. meningitidis,STI; rising AMR,Pilus/porin adhesion; altered PBPs,Ceftriaxone; Azithromycin (historical),
Clostridioides difficile,Firmicutes / Peptostreptococcaceae / Clostridioides,Other toxin-producing clostridia,Antibiotic-associated colitis; spores; toxins A/B,Toxins glucosylating Rho GTPases; spore formation,Oral Vancomycin; Fidaxomicin; FMT,
